# paper: 10.3184%2F030823410X12864689639476
# figure: Figure 3  panel: Figure_3_0
# technique: photoluminescence  material: [CuCl2(pyridine-3-carbonitrile)2]n, [CuCl2(pyridine-4-carbonitrile)2]n and [CoCl2(pyridine-4-carbonitrile)2]n
# series: [CuCl2(pyridine-4-carbonitrile)2]n (2) — emission  (experimental)
# x: (a)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
216.55405,0.892092
216.89189,0.892092
221.28378,0.042834
221.62162,0.042010
221.95946,0.045305
222.29730,0.045305
222.63514,0.046952
222.97297,0.046952
223.31081,0.050247
223.64865,0.050247
223.98649,0.053542
224.32432,0.053542
224.66216,0.058484
225.00000,0.058484
225.33784,0.065074
225.67568,0.065074
226.01351,0.065898
226.35135,0.065898
226.68919,0.069193
228.71622,0.098847
229.05405,0.098023
229.39189,0.102965
229.72973,0.102965
230.06757,0.105437
230.40541,0.105437
230.74324,0.108731
231.75676,0.133443
232.09459,0.135091
232.43243,0.135091
232.77027,0.138386
235.47297,0.176277
235.81081,0.176277
236.14865,0.178748
236.48649,0.178748
236.82432,0.189456
237.16216,0.190280
238.85135,0.209226
239.18919,0.209226
239.52703,0.213344
239.86486,0.213344
240.20270,0.213344
240.54054,0.213344
242.22973,0.248764
242.56757,0.255354
242.90541,0.256178
243.24324,0.256178
243.58108,0.260297
243.91892,0.260297
245.60811,0.308072
245.94595,0.307249
246.28378,0.310544
246.62162,0.309720
246.95946,0.313015
247.29730,0.313015
247.63514,0.328666
247.97297,0.327842
248.98649,0.352554
249.32432,0.353377
251.01351,0.407743
251.35135,0.407743
251.68919,0.407743
252.02703,0.406919
253.71622,0.467051
254.05405,0.464580
254.39189,0.467875
255.06757,0.512356
255.40541,0.512356
255.74324,0.514827
256.08108,0.514827
256.41892,0.514827
256.75676,0.514827
257.77027,0.567545
258.10811,0.567545
258.44595,0.594728
258.78378,0.594728
259.12162,0.600494
259.45946,0.600494
259.79730,0.598847
263.51351,0.752883
263.85135,0.750412
264.18919,0.747941
274.66216,0.677924
275.00000,0.682867
275.33784,0.621087
275.67568,0.620264
276.01351,0.624382
276.35135,0.625206
278.04054,0.486820
278.37838,0.490115
279.39189,0.411862
279.72973,0.415157
280.06757,0.410214
281.08108,0.345964
281.41892,0.352554
281.75676,0.347611
282.77027,0.284185
283.10811,0.285832
283.44595,0.278418
284.79730,0.196046
285.13514,0.196870
285.47297,0.196870
285.81081,0.196870
286.82432,0.149094
287.16216,0.148270
288.85135,0.120264
289.18919,0.120264
289.52703,0.115321
289.86486,0.115321
290.20270,0.112850
290.54054,0.112850
290.87838,0.104613
291.21622,0.104613
291.55405,0.102142
291.89189,0.102142
292.22973,0.098847
292.56757,0.098847
293.58108,0.084020
293.91892,0.084843
294.25676,0.084843
294.59459,0.084843
294.93243,0.083196
295.27027,0.085667
300.00000,0.071664
300.33784,0.072488
300.67568,0.073311
301.01351,0.073311
301.35135,0.074135
416.21622,0.992586
416.55405,0.992586
416.89189,0.992586
417.22973,0.992586
417.56757,0.893740
417.90541,0.893740
418.24324,0.699341
418.58108,0.699341
418.91892,0.699341
419.93243,0.699341
420.27027,0.699341
420.60811,0.699341
420.94595,0.699341
421.28378,0.699341
421.62162,0.699341
421.95946,0.699341
422.29730,0.700988
422.63514,0.700988
422.97297,0.700988
423.31081,0.700988
423.64865,0.700988
423.98649,0.700988
424.32432,0.700988
424.66216,0.700988
425.00000,0.700988
425.33784,0.700988
425.67568,0.700988
426.01351,0.700988
426.35135,0.700988
426.68919,0.700988
427.02703,0.700988
427.36486,0.700988
427.70270,0.700988
428.04054,0.700988
428.37838,0.702636
428.71622,0.702636
429.05405,0.702636
429.39189,0.702636
429.72973,0.702636
430.06757,0.702636
430.40541,0.704283
432.09459,0.713344
432.43243,0.723229
432.77027,0.723229
433.10811,0.741351
433.44595,0.741351
433.78378,0.807249
434.12162,0.806425
434.45946,0.846787
434.79730,0.846787
435.13514,0.929984
435.47297,0.926689
436.82432,0.945634
437.16216,0.938221
437.50000,0.939044
437.83784,0.899506
438.17568,0.900329
438.51351,0.856672
438.85135,0.856672
439.18919,0.824547
439.52703,0.823723
439.86486,0.799012
440.20270,0.796540
440.54054,0.771829
440.87838,0.771005
441.21622,0.758649
441.55405,0.758649
441.89189,0.748764
442.22973,0.748764
442.56757,0.745470
442.90541,0.745470
443.24324,0.740527
443.58108,0.740527
443.91892,0.737232
444.25676,0.737232
444.59459,0.738880
444.93243,0.738880
445.27027,0.735585
445.60811,0.735585
445.94595,0.735585
446.28378,0.735585
446.62162,0.733937
446.95946,0.733937
447.29730,0.733937
447.63514,0.733937
447.97297,0.732290
448.31081,0.732290
448.64865,0.732290
448.98649,0.732290
449.32432,0.732290
449.66216,0.732290
468.91892,0.674629
469.25676,0.674629
497.97297,0.674629
498.31081,0.674629
511.82432,0.679572
512.16216,0.677924
512.50000,0.677924
